lh.aparc.volume	lh_bankssts_volume	lh_caudalanteriorcingulate_volume	lh_caudalmiddlefrontal_volume	lh_cuneus_volume	lh_entorhinal_volume	lh_fusiform_volume	lh_inferiorparietal_volume	lh_inferiortemporal_volume	lh_isthmuscingulate_volume	lh_lateraloccipital_volume	lh_lateralorbitofrontal_volume	lh_lingual_volume	lh_medialorbitofrontal_volume	lh_middletemporal_volume	lh_parahippocampal_volume	lh_paracentral_volume	lh_parsopercularis_volume	lh_parsorbitalis_volume	lh_parstriangularis_volume	lh_pericalcarine_volume	lh_postcentral_volume	lh_posteriorcingulate_volume	lh_precentral_volume	lh_precuneus_volume	lh_rostralanteriorcingulate_volume	lh_rostralmiddlefrontal_volume	lh_superiorfrontal_volume	lh_superiorparietal_volume	lh_superiortemporal_volume	lh_supramarginal_volume	lh_frontalpole_volume	lh_temporalpole_volume	lh_transversetemporal_volume	lh_insula_volume	BrainSegVolNotVent	eTIV
sub-001_T1w	2762.0	1632.0	6696.0	3816.0	1989.0	10661.0	15619.0	10901.0	3900.0	14461.0	8966.0	7437.0	5438.0	13608.0	2677.0	3770.0	5525.0	3206.0	4578.0	2263.0	11739.0	3066.0	15822.0	13499.0	2651.0	17270.0	24401.0	16994.0	12635.0	15200.0	1187.0	2589.0	948.0	8355.0	1240669.0	1550302.42817
sub-002_T1w	2679.0	1930.0	5047.0	3432.0	1989.0	10145.0	13219.0	11364.0	2706.0	13825.0	8471.0	6992.0	5564.0	12564.0	2820.0	3618.0	4472.0	2730.0	4515.0	2025.0	10269.0	3203.0	14433.0	9987.0	2489.0	16956.0	22597.0	13437.0	13927.0	13632.0	1254.0	2761.0	1045.0	8014.0	1148909.0	1472141.96435
sub-003_T1w	3375.0	2554.0	5514.0	2583.0	2263.0	11904.0	14969.0	14747.0	3197.0	11197.0	8082.0	6078.0	5113.0	12663.0	2060.0	2906.0	5209.0	2716.0	3905.0	1508.0	8617.0	3394.0	11649.0	10436.0	3028.0	16025.0	19916.0	13198.0	14111.0	13111.0	1217.0	2509.0	1165.0	7999.0	1086548.0	1390167.06068
sub-004_T1w	2932.0	2565.0	9382.0	4477.0	2091.0	11436.0	12680.0	13606.0	2834.0	14988.0	9801.0	9482.0	5999.0	14649.0	3362.0	4048.0	6438.0	3094.0	5229.0	3917.0	10814.0	3444.0	17066.0	12088.0	3357.0	20250.0	25999.0	15539.0	14523.0	13024.0	1195.0	2726.0	1269.0	8249.0	1309284.0	1653974.93663
sub-005_T1w	2659.0	1465.0	6284.0	2751.0	1721.0	12028.0	11186.0	12097.0	2836.0	11699.0	8927.0	7395.0	6003.0	12960.0	1987.0	2954.0	5413.0	2528.0	4279.0	1762.0	9915.0	2793.0	13023.0	11698.0	1925.0	13452.0	20468.0	12167.0	14537.0	12032.0	818.0	2239.0	1377.0	7231.0	1148995.0	1349287.88961
sub-006_T1w	2710.0	1511.0	5617.0	4150.0	2937.0	10904.0	10273.0	8673.0	2213.0	11998.0	8000.0	8758.0	5335.0	10666.0	2131.0	3502.0	6694.0	2491.0	4381.0	3233.0	10461.0	2142.0	13228.0	9219.0	1825.0	14126.0	21631.0	12093.0	14017.0	14018.0	1003.0	2161.0	1156.0	8025.0	1113989.0	1364911.2035
sub-007_T1w	2163.0	1641.0	7407.0	3471.0	1975.0	9327.0	10333.0	10913.0	2201.0	12639.0	7938.0	5930.0	5150.0	10445.0	2154.0	3726.0	4617.0	2541.0	3543.0	2118.0	8193.0	2926.0	13619.0	9609.0	1855.0	15521.0	21259.0	13780.0	12302.0	9175.0	1078.0	2323.0	941.0	6579.0	997757.0	1295857.75516
sub-008_T1w	2529.0	2306.0	6774.0	3517.0	1798.0	9538.0	13327.0	11325.0	2124.0	11838.0	7607.0	6570.0	5032.0	13551.0	1882.0	3099.0	3827.0	2377.0	3179.0	2143.0	9993.0	3319.0	14078.0	8395.0	2908.0	14972.0	20987.0	10398.0	12025.0	10790.0	1170.0	2544.0	1050.0	6751.0	1045809.0	1306845.3774
sub-009_T1w	2387.0	1501.0	3824.0	2943.0	1609.0	9546.0	9805.0	11581.0	2519.0	10905.0	7287.0	6957.0	4725.0	11651.0	1910.0	3128.0	4895.0	2530.0	3714.0	2231.0	7472.0	2974.0	11056.0	8596.0	2548.0	14717.0	21966.0	10588.0	11738.0	9717.0	943.0	2342.0	993.0	6608.0	1035591.0	1341126.85205
sub-010_T1w	2838.0	1652.0	6611.0	2684.0	1792.0	10063.0	12907.0	10887.0	2418.0	10303.0	8391.0	5785.0	5145.0	11194.0	2068.0	3224.0	5088.0	2552.0	4512.0	1773.0	8598.0	3043.0	12595.0	9772.0	2539.0	15728.0	21668.0	11203.0	14858.0	11058.0	1072.0	2186.0	1091.0	6815.0	1120427.0	1395468.25857
